Activity ID	Primary Resource	Activity Name	T+1 Start (BL1)	T+1 Finish (BL1)	T-0 Start (BL0)	T-0 Finish (BL0)
 001.0 ALT1d	PSE21.Troficanto-PSE	Proposed Alternative (WEC) - SS Weld Inspectability - Process and submit to NRC	20-Oct-16	04-Nov-16	20-Oct-16	16-Dec-16
 004.0 Open Item 1	PSE29.McLellan-PSE	Maintenance Rule Procedure Benchmarking (Duke)	01-Nov-16	21-Nov-16	07-Nov-16	21-Nov-16
 004.0 Open Item 2	PSE29.McLellan-PSE	Maintenance Rule Procedure Benchmarking (XCel)	22-Nov-16	14-Dec-16	11-Nov-16	05-Dec-16
 004.0 Open Item 5	PSE29.McLellan-PSE	Add Ops MRule training (if any) to NND-OR-0001 Rev5 Enclosure E	02-Nov-16	22-Nov-16	09-Nov-16	29-Nov-16
 004.0 Open Item 6	PSE29.McLellan-PSE	PSE/LIC determine best inspection expectations	02-Nov-16	22-Nov-16	09-Nov-16	29-Nov-16
 004.0 PAD20	PSE29.McLellan-PSE	Program Development 50% Review Actions Closed	15-Sep-16	01-Nov-16	15-Sep-16	05-Dec-16
 006.0 Dev 4	DE09.Young-DE	Training Material Developed and Approved	17-Nov-16	17-Nov-16	19-Dec-16	19-Dec-16
 006.0 Dev 6	DE09.Young-DE	Conduct Program Development Complete Review	17-Nov-16	17-Nov-16	19-Dec-16	19-Dec-16
 006.0 Dev 7	DE09.Young-DE	Program Development Complete Review Actions Closed	18-Nov-16	12-Dec-16	20-Dec-16	12-Jan-17
 009.0 Open Item 001	PSE03.Ramage-PSE	Track Unit 1 SureSense (OLM) Software Deployment	01-Nov-16	21-Nov-16	01-Nov-16	21-Nov-16
 009.0 PAD20	PSE03.Ramage-PSE	Program Development 50% Review Actions Closed	18-Oct-16	07-Nov-16	18-Oct-16	22-Nov-16
 009.0 PDEV02	PSE03.Ramage-PSE	Program Procedures Developed and Approved (Procedures Owned by Other Stakeholders)	14-Aug-17	14-Aug-17	15-Nov-16	15-Nov-16
 012.0 PAD20	PSE11.Jacome-PSE	Program Development 50% Review Actions Closed	14-Sep-16	01-Nov-16	14-Sep-16	01-Dec-16
 012.0 PAD21	PSE11.Jacome-PSE	Open Items from Program Development 50% Review Identified in Schedule	14-Sep-16	01-Nov-16	14-Sep-16	01-Dec-16
 013.0 PDEV01	PSE22.Garrett-PSE	Program Procedures Developed and Approved (Procedures Owned by Program Developer)	22-Nov-16	22-Nov-16	09-Dec-16	09-Dec-16
 015.0 PDEV03	PSE17.Metzger-PSE	Program Specific Training Material and Qualifications Developed and Approved	15-Nov-16	15-Nov-16	15-Dec-16	15-Dec-16
 018.0 Open Item 1	PSE06.Terry-PSE	Review Design Report on Holder Tubes	07-Oct-16	17-Nov-16	07-Oct-16	01-Feb-17
 018.0 Open Item 2	PSE06.Terry-PSE	Who will load the capsules and when?	07-Oct-16	17-Nov-16	07-Oct-16	01-Feb-17
 018.0 Open Item 3	PSE06.Terry-PSE	A materials engineer will be needed to review capsule report	07-Oct-16	17-Nov-16	07-Oct-16	15-Nov-16
 018.0 Open Item 4	PSE06.Terry-PSE	Confirm there is a bracket in the SFP to hand capsule tool	07-Oct-16	17-Nov-16	07-Oct-16	01-Feb-17
 018.0 Open Item 5	PSE06.Terry-PSE	Will a Transport Can be supplied for the capsules?	07-Oct-16	17-Nov-16	07-Oct-16	01-Feb-17
 018.0 PIMP09	PSE06.Terry-PSE	Open Items Closed	18-Nov-16	18-Nov-16	30-Nov-16	30-Nov-16
 020.0 PDEV09	PSE02.Shank-PSE	Draft "Program Development Phase Completion Document"	26-Oct-16	15-Nov-16	26-Oct-16	09-Nov-16
 020.0 PDEV10	PSE02.Shank-PSE	Conduct Program Development Complete Review	16-Nov-16	16-Nov-16	10-Nov-16	10-Nov-16
 020.0 PDEV11	PSE02.Shank-PSE	Program Development Complete Review Actions Closed	17-Nov-16	09-Dec-16	18-Nov-16	12-Dec-16
 020.0 PDEV12	PSE02.Shank-PSE	Open Items from Program Development Complete Review Identified in Schedule	17-Nov-16	23-Nov-16	18-Nov-16	30-Nov-16
 021.0 Open Item 1	PSE06.Terry-PSE	Trending/Ovation - How will leak rates be documented and kept track of?	14-Oct-16	28-Nov-16	14-Oct-16	15-Nov-16
 021.0 Open Item 3	PSE06.Terry-PSE	The impacts of changing the amount of unidentified from 1gpm to .5gpm	07-Oct-16	17-Nov-16	07-Oct-16	15-Nov-16
 024.0 DEV14	PSE34.FP-PSE	Provide PM activities and frequencies for FPP SSC’s	01-Nov-16	22-May-17	01-Dec-16	20-Jun-17
 024.0 DEV2	PSE34.FP-PSE	Coordinate purchase orders for resources with Procurement	15-Jun-16	01-Nov-16	15-Jun-16	01-Dec-16
 024.0 DEV227	PSE34.FP-PSE	Provide acceptance criteria/program health criteria for monitoring tests inspections	01-Nov-16	22-May-17	01-Dec-16	20-Jun-17
 024.0 DEV228	PSE34.FP-PSE	Identify and Provide program SSC trending and reporting requirements (walkdowns, failure mechanisms)	01-Nov-16	26-Sep-17	01-Dec-16	24-Oct-17
 024.0 DEV229	PSE34.FP-PSE	Provide benchmark plan for maintaining program excellence standards	01-Nov-16	26-Sep-17	01-Dec-16	24-Oct-17
 024.0 DEV231	PSE34.FP-PSE	Coordinate with Training & Maintenance to Develop & Implement Maintenance Training for FPS System	01-Nov-16	07-Nov-16	01-Dec-16	07-Dec-16
 024.0 DEV232	ERU2.ERU	Coordinate with Training & ERU to Develop & Implement Inspection and Testing Training for FPS System	01-Nov-16	07-Nov-16	01-Mar-17	07-Mar-17
 024.0 DEV233	PSE34.FP-PSE	Coordinate with Training to Develop & Implement General Engineering Population Training	01-Nov-16	03-Feb-17	01-Dec-16	03-Mar-17
 024.0 DEV234	ERU2.ERU	Coordinate with Training & ERU to Develop and Implement Fire Brigade Training	01-Nov-16	03-Feb-17	01-Mar-17	31-May-17
 024.0 DEV7	PSE34.FP-PSE	Provide post maintenance testing criteria for maintenance activities	01-Nov-16	06-Jun-17	01-Dec-16	05-Jul-17
 024.0 DP9	ERU2.ERU	Identify supporting content and inputs for development of FPP Training Procedures	27-Jun-16	01-Nov-16	27-Jun-16	31-Mar-17
 037.3180	N1.NPS	NND-AP-0006 for Security Trainers	01-Nov-16	06-Dec-16	04-Nov-16	18-Jan-17
 037.3756	N1.NPS	Implement New Range Improvement	14-Nov-16	28-Feb-17	14-Nov-16	28-Feb-17
