	Activity ID	Activity Name	T+1 Start (BL1)	T+1 Finish (BL1)	T-0 Start (BL0)	T-0 Finish (BL0)	rsrc_id	rsrc_name	no_change_start	no_change_finish	moved_out_start	moved_out_finish	T-0 Start (BL0)	T-0 Finish (BL0)
1	 001.0 ALT1d	Proposed Alternative (WEC) - SS Weld Inspectability - Process and submit to NRC	2016-10-20	2016-11-04	2016-10-20	2016-12-16	PSE21	Troficanto-PSE	False	False	False	True	False	False
2	 004.0 Open Item 1	Maintenance Rule Procedure Benchmarking (Duke)	2016-11-01	2016-11-21	2016-11-07	2016-11-21	PSE29	McLellan-PSE	True	True	False	False	True	True
3	 004.0 Open Item 2	Maintenance Rule Procedure Benchmarking (XCel)	2016-11-22	2016-12-14	2016-11-11	2016-12-05	PSE29	McLellan-PSE	True	False	False	False	True	False
4	 004.0 Open Item 5	Add Ops MRule training (if any) to NND-OR-0001 Rev5 Enclosure E	2016-11-02	2016-11-22	2016-11-09	2016-11-29	PSE29	McLellan-PSE	True	True	False	False	True	True
5	 004.0 Open Item 6	PSE/LIC determine best inspection expectations	2016-11-02	2016-11-22	2016-11-09	2016-11-29	PSE29	McLellan-PSE	True	True	False	False	True	True
6	 004.0 PAD20	Program Development 50% Review Actions Closed	2016-09-15	2016-11-01	2016-09-15	2016-12-05	PSE29	McLellan-PSE	False	False	False	True	False	False
7	 006.0 Dev 4	Training Material Developed and Approved	2016-11-17	2016-11-17	2016-12-19	2016-12-19	DE09	Young-DE	False	False	True	True	False	False
8	 006.0 Dev 6	Conduct Program Development Complete Review	2016-11-17	2016-11-17	2016-12-19	2016-12-19	DE09	Young-DE	False	False	True	True	False	False
9	 006.0 Dev 7	Program Development Complete Review Actions Closed	2016-11-18	2016-12-12	2016-12-20	2017-01-12	DE09	Young-DE	False	False	True	False	False	False
10	 009.0 Open Item 001	Track Unit 1 SureSense (OLM) Software Deployment	2016-11-01	2016-11-21	2016-11-01	2016-11-21	PSE03	Ramage-PSE	True	True	False	False	True	True
11	 009.0 PAD20	Program Development 50% Review Actions Closed	2016-10-18	2016-11-07	2016-10-18	2016-11-22	PSE03	Ramage-PSE	False	True	False	False	False	True
12	 009.0 PDEV02	Program Procedures Developed and Approved (Procedures Owned by Other Stakeholders)	2017-08-14	2017-08-14	2016-11-15	2016-11-15	PSE03	Ramage-PSE	False	False	False	False	True	True
13	 012.0 PAD20	Program Development 50% Review Actions Closed	2016-09-14	2016-11-01	2016-09-14	2016-12-01	PSE11	Jacome-PSE	False	False	False	True	False	False
14	 012.0 PAD21	Open Items from Program Development 50% Review Identified in Schedule	2016-09-14	2016-11-01	2016-09-14	2016-12-01	PSE11	Jacome-PSE	False	False	False	True	False	False
